method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
HiSD,1.2589254117941661e-05,0.002,2000000,31,-0.5046875000000001,1.2093749999999999,completed,0.06601892973947195,0.18404094146041225,9.986889369560736e-07,-1005.1363671369941,762.7329007782336,3928,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,30,-0.5140625000000001,1.2093749999999999,completed,0.0660189297289557,0.18404094146518332,9.94917636418705e-07,-1005.1363671575341,762.7329007603322,3931,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,63,-0.5046875000000001,1.228125,completed,0.06601892973374017,0.18404094146924588,9.99705157776381e-07,-1005.136367173549,762.7329007630119,3931,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,29,-0.5234375,1.2093749999999999,completed,0.0660189297357109,0.18404094145730227,9.949665774700772e-07,-1005.1363671247441,762.732900776054,3934,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,62,-0.5140625000000001,1.228125,completed,0.0660189297373023,0.1840409414586649,9.965644048464836e-07,-1005.1363671301174,762.732900776935,3942,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,28,-0.5328125000000001,1.2093749999999999,completed,0.06601892973141174,0.18404094146734254,9.974119888474417e-07,-1005.1363671660553,762.7329007616431,3946,success_index1,S_L,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,0,-0.7953125000000001,1.2093749999999999,completed,-2.628045771270971,1.7869725684821538,9.993302246415015e-07,-3153.363698184221,238.07432591485835,23175,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,1,-0.7859375000000001,1.2093749999999999,completed,-2.628045771266586,1.7869725684706166,9.999103621450066e-07,-3153.3636981845557,238.07432590244906,23198,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,2,-0.7765625,1.2093749999999999,completed,-2.62804577127238,1.786972568481269,9.99726460260986e-07,-3153.3636981836635,238.0743259164505,23223,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,32,-0.7953125000000001,1.228125,completed,-2.628045771273253,1.7869725684807212,9.999718928593355e-07,-3153.363698183319,238.07432591743589,23223,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,3,-0.7671875,1.2093749999999999,completed,-2.6280457712723617,1.78697256848128,9.99721310089926e-07,-3153.3636981836703,238.07432591642922,23249,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,33,-0.7859375000000001,1.228125,completed,-2.628045771273212,1.786972568480747,9.999603928479647e-07,-3153.3636981833342,238.0743259173904,23251,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,4,-0.7578125,1.2093749999999999,completed,-2.62804577127051,1.7869725684824427,9.992006743643023e-07,-3153.363698184403,238.07432591433744,23277,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,64,-0.7953125000000001,1.246875,completed,-2.628045771264345,1.786972568472033,9.992790897787263e-07,-3153.3636981854434,238.0743258999234,23280,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,34,-0.7765625,1.228125,completed,-2.6280457712723964,1.7869725684812592,9.997309698584562e-07,-3153.363698183657,238.0743259164692,23281,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,5,-0.7484375000000001,1.2093749999999999,completed,-2.628045771273298,1.7869725684806932,9.99984430789664e-07,-3153.363698183301,238.07432591748739,23305,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,35,-0.7671875,1.228125,completed,-2.628045771271568,1.7869725684817788,9.994981816443157e-07,-3153.363698183985,238.07432591553322,23313,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,65,-0.7859375000000001,1.246875,completed,-2.628045771272025,1.7869725684814917,9.99626655877921e-07,-3153.363698183805,238.07432591604945,23313,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,6,-0.7390625000000001,1.2093749999999999,completed,-2.6280457712661436,1.7869725684708968,9.99785723582159e-07,-3153.3636981847303,238.07432590195177,23336,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,36,-0.7578125,1.228125,completed,-2.628045771271727,1.7869725684816797,9.995428223864902e-07,-3153.3636981839218,238.074325915713,23347,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,96,-0.7953125000000001,1.265625,completed,-2.628045771273139,1.7869725684807918,9.999398812662088e-07,-3153.3636981833642,238.07432591730722,23347,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,66,-0.7765625,1.246875,completed,-2.62804577127279,1.7869725684810118,9.998416205451592e-07,-3153.3636981835025,238.07432591691307,23349,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,7,-0.7296875,1.2093749999999999,completed,-2.6280457712722365,1.7869725684813584,9.996861449831533e-07,-3153.3636981837208,238.07432591628736,23369,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,37,-0.7484375000000001,1.228125,completed,-2.6280457712647864,1.7869725684717535,9.99403536643419e-07,-3153.363698185268,238.0743259004205,23384,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,97,-0.7859375000000001,1.265625,completed,-2.6280457712662133,1.7869725684708524,9.99805433708039e-07,-3153.3636981847026,238.07432590202978,23388,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,67,-0.7671875,1.246875,completed,-2.628045771271758,1.7869725684816593,9.99551616808807e-07,-3153.363698183909,238.07432591574744,23389,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,8,-0.7203125,1.2093749999999999,completed,-2.6280457712668808,1.7869725684704318,9.999932272901482e-07,-3153.363698184439,238.07432590278265,23404,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,38,-0.7390625000000001,1.228125,completed,-2.6280457712653855,1.7869725684713749,9.99572351201605e-07,-3153.3636981850304,238.07432590109596,23424,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,68,-0.7578125,1.246875,completed,-2.628045771271163,1.7869725684820337,9.993842764666604e-07,-3153.363698184145,238.07432591507583,23433,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,98,-0.7765625,1.265625,completed,-2.6280457712649485,1.7869725684716504,9.99449265659011e-07,-3153.3636981852032,238.07432590060333,23434,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,128,-0.7953125000000001,1.284375,completed,-2.6280457712659477,1.7869725684710192,9.997307429946052e-07,-3153.3636981848076,238.07432590172945,23434,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
HiSD,1.2589254117941661e-05,0.002,2000000,9,-0.7109375,1.2093749999999999,completed,-2.628045771271334,1.7869725684819262,9.994323933015744e-07,-3153.3636981840773,238.0743259152691,23443,success_index1,S_H,gradient_tolerance,,raw_state_verified,run.py:numpy-batch
