method,eta,tau,budget,start_id,x0,y0,execution_status,raw_x,raw_y,grad_norm,lambda1,lambda2,n_outer_updates,terminal_category,endpoint,stop_reason,failure_reason,certification_reason,source
SI-pHiSD,0.039810717055349734,0.002,2000000,352,-0.7953125000000001,1.415625,completed,-2.7210423527737753,4.21971473828695,21040.38655131603,7507.233021281489,81607.77920146038,38,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,321,-0.7859375000000001,1.3968749999999999,completed,-2.4988854198448442,4.349683540165612,34686.40790880056,9939.440492714419,143575.34131724585,67,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,485,-0.7484375000000001,1.4906249999999999,completed,-2.5811838260206295,4.284225258567645,26505.072440787262,7932.587492582468,106177.90582553754,68,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,421,-0.7484375000000001,1.453125,completed,-2.9598246290063788,4.056328169006577,13043.732717091714,6631.849700442769,47922.00226277976,86,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,48,-0.6453125000000001,1.228125,completed,-1.5489116505361185,4.765972512083427,566981.2473694684,119879.22174269565,3118156.9340498373,110,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,453,-0.7484375000000001,1.4718749999999998,completed,-2.56545144237559,4.294017048927985,27555.717111247464,8145.454527421881,110950.57408617283,119,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,450,-0.7765625,1.4718749999999998,completed,-4.8531100312396145,1.2530536447655767,1595111.5301088095,284902.12568238063,9439173.604080345,126,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,486,-0.7390625000000001,1.4906249999999999,completed,-4.834240968356983,1.2976674580677374,1309017.5904115213,239226.99628248042,7651290.035282642,135,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,384,-0.7953125000000001,1.434375,completed,-1.2174299509686217,4.854172331648525,1733526.2866064084,304934.3598529827,10324097.373532597,141,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,481,-0.7859375000000001,1.4906249999999999,completed,-4.936798190944898,0.8180449813791901,7530088.865865229,1136734.2736811645,48949772.1180594,143,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,482,-0.7765625,1.4906249999999999,completed,-4.946688541319463,0.7611477581849956,9382664.741665557,1388978.7132613622,61716233.0355034,147,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,320,-0.7953125000000001,1.3968749999999999,completed,-1.0805448847094243,4.886794001909855,2850837.86504899,472577.9365603727,17519241.002514247,157,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,420,-0.7578125,1.453125,completed,-0.9521365174308821,4.916017415643882,4645614.882230331,733140.4254466903,29381286.60808456,161,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,480,-0.7953125000000001,1.4906249999999999,completed,-4.9655115039480044,0.6147146183054999,16268318.450132987,2296357.045739053,110117914.26669562,163,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,322,-0.7765625,1.3968749999999999,completed,-1.065577763559912,4.890589495842773,3020060.0705165267,497601.2243197265,18623480.583331846,164,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
SI-pHiSD,0.039810717055349734,0.002,2000000,448,-0.7953125000000001,1.4718749999999998,completed,-4.9699375656608735,0.6448501432412823,15226541.256825441,2166148.996246549,102646474.974866,182,state_safeguard,U,state_safeguard,source_norm2_gt_5,raw_state_verified,run.py:numpy-batch
