method,eta,completed,planned,status
HiSD,1e-05,512,512,COMPLETE
SI-pHiSD,1e-05,512,512,COMPLETE
HiSD,1.2589254117941661e-05,512,512,COMPLETE
SI-pHiSD,1.2589254117941661e-05,512,512,COMPLETE
HiSD,1.584893192461114e-05,512,512,COMPLETE
SI-pHiSD,1.584893192461114e-05,512,512,COMPLETE
HiSD,1.9952623149688786e-05,512,512,COMPLETE
SI-pHiSD,1.9952623149688786e-05,512,512,COMPLETE
HiSD,2.5118864315095822e-05,512,512,COMPLETE
SI-pHiSD,2.5118864315095822e-05,512,512,COMPLETE
HiSD,3.1622776601683795e-05,512,512,COMPLETE
SI-pHiSD,3.1622776601683795e-05,512,512,COMPLETE
HiSD,3.9810717055349695e-05,512,512,COMPLETE
SI-pHiSD,3.9810717055349695e-05,512,512,COMPLETE
HiSD,5.011872336272725e-05,512,512,COMPLETE
SI-pHiSD,5.011872336272725e-05,512,512,COMPLETE
HiSD,6.309573444801929e-05,512,512,COMPLETE
SI-pHiSD,6.309573444801929e-05,512,512,COMPLETE
HiSD,7.943282347242822e-05,512,512,COMPLETE
SI-pHiSD,7.943282347242822e-05,512,512,COMPLETE
HiSD,0.0001,512,512,COMPLETE
SI-pHiSD,0.0001,512,512,COMPLETE
HiSD,0.00012589254117941674,512,512,COMPLETE
SI-pHiSD,0.00012589254117941674,512,512,COMPLETE
HiSD,0.00015848931924611142,512,512,COMPLETE
SI-pHiSD,0.00015848931924611142,512,512,COMPLETE
HiSD,0.00019952623149688788,512,512,COMPLETE
SI-pHiSD,0.00019952623149688788,512,512,COMPLETE
HiSD,0.0002511886431509582,512,512,COMPLETE
SI-pHiSD,0.0002511886431509582,512,512,COMPLETE
HiSD,0.00031622776601683794,512,512,COMPLETE
SI-pHiSD,0.00031622776601683794,512,512,COMPLETE
HiSD,0.00039810717055349735,512,512,COMPLETE
SI-pHiSD,0.00039810717055349735,512,512,COMPLETE
HiSD,0.0005011872336272725,512,512,COMPLETE
SI-pHiSD,0.0005011872336272725,512,512,COMPLETE
HiSD,0.000630957344480193,512,512,COMPLETE
SI-pHiSD,0.000630957344480193,512,512,COMPLETE
HiSD,0.0007943282347242822,512,512,COMPLETE
SI-pHiSD,0.0007943282347242822,512,512,COMPLETE
HiSD,0.001,512,512,COMPLETE
SI-pHiSD,0.001,512,512,COMPLETE
HiSD,0.0012589254117941675,512,512,COMPLETE
SI-pHiSD,0.0012589254117941675,512,512,COMPLETE
HiSD,0.001584893192461114,512,512,COMPLETE
SI-pHiSD,0.001584893192461114,512,512,COMPLETE
HiSD,0.0019952623149688807,512,512,COMPLETE
SI-pHiSD,0.0019952623149688807,512,512,COMPLETE
HiSD,0.002511886431509582,512,512,COMPLETE
SI-pHiSD,0.002511886431509582,512,512,COMPLETE
HiSD,0.0031622776601683794,512,512,COMPLETE
SI-pHiSD,0.0031622776601683794,512,512,COMPLETE
HiSD,0.003981071705534973,512,512,COMPLETE
SI-pHiSD,0.003981071705534973,512,512,COMPLETE
HiSD,0.005011872336272725,512,512,COMPLETE
SI-pHiSD,0.005011872336272725,512,512,COMPLETE
HiSD,0.006309573444801936,512,512,COMPLETE
SI-pHiSD,0.006309573444801936,512,512,COMPLETE
HiSD,0.00794328234724282,512,512,COMPLETE
SI-pHiSD,0.00794328234724282,512,512,COMPLETE
HiSD,0.01,512,512,COMPLETE
SI-pHiSD,0.01,512,512,COMPLETE
HiSD,0.012589254117941675,512,512,COMPLETE
SI-pHiSD,0.012589254117941675,512,512,COMPLETE
HiSD,0.01584893192461114,512,512,COMPLETE
SI-pHiSD,0.01584893192461114,512,512,COMPLETE
HiSD,0.01995262314968881,512,512,COMPLETE
SI-pHiSD,0.01995262314968881,512,512,COMPLETE
HiSD,0.025118864315095822,512,512,COMPLETE
SI-pHiSD,0.025118864315095822,512,512,COMPLETE
HiSD,0.03162277660168379,512,512,COMPLETE
SI-pHiSD,0.03162277660168379,512,512,COMPLETE
HiSD,0.039810717055349734,512,512,COMPLETE
SI-pHiSD,0.039810717055349734,512,512,COMPLETE
HiSD,0.05011872336272725,512,512,COMPLETE
SI-pHiSD,0.05011872336272725,512,512,COMPLETE
HiSD,0.06309573444801936,512,512,COMPLETE
SI-pHiSD,0.06309573444801936,512,512,COMPLETE
HiSD,0.07943282347242822,512,512,COMPLETE
SI-pHiSD,0.07943282347242822,512,512,COMPLETE
HiSD,0.1,512,512,COMPLETE
SI-pHiSD,0.1,512,512,COMPLETE
