method,eta,tau,N,sampling,budget,N_H,N_L,N_other,success,unsuccessful,success_percent,high_hit_percent,low_hit_percent,budget_exhausted,wrong_index_0,wrong_index_2,index_unresolved,state_safeguard,numerical_breakdown
HiSD,1e-05,0.002,512,uniform_grid_32x16_centers,2000000,506,6,0,512,0,100.0,98.828125,1.171875,0,0,0,0,0,0
SI-pHiSD,1e-05,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,1.2589254117941661e-05,0.002,512,uniform_grid_32x16_centers,2000000,506,6,0,512,0,100.0,98.828125,1.171875,0,0,0,0,0,0
SI-pHiSD,1.2589254117941661e-05,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,1.584893192461114e-05,0.002,512,uniform_grid_32x16_centers,2000000,506,6,0,512,0,100.0,98.828125,1.171875,0,0,0,0,0,0
SI-pHiSD,1.584893192461114e-05,0.002,512,uniform_grid_32x16_centers,2000000,10,456,0,466,46,91.015625,1.953125,89.0625,0,0,0,0,46,0
HiSD,1.9952623149688786e-05,0.002,512,uniform_grid_32x16_centers,2000000,506,6,0,512,0,100.0,98.828125,1.171875,0,0,0,0,0,0
SI-pHiSD,1.9952623149688786e-05,0.002,512,uniform_grid_32x16_centers,2000000,29,456,0,485,27,94.7265625,5.6640625,89.0625,0,0,0,0,27,0
HiSD,2.5118864315095822e-05,0.002,512,uniform_grid_32x16_centers,2000000,506,6,0,512,0,100.0,98.828125,1.171875,0,0,0,0,0,0
SI-pHiSD,2.5118864315095822e-05,0.002,512,uniform_grid_32x16_centers,2000000,42,470,0,512,0,100.0,8.203125,91.796875,0,0,0,0,0,0
HiSD,3.1622776601683795e-05,0.002,512,uniform_grid_32x16_centers,2000000,506,6,0,512,0,100.0,98.828125,1.171875,0,0,0,0,0,0
SI-pHiSD,3.1622776601683795e-05,0.002,512,uniform_grid_32x16_centers,2000000,51,461,0,512,0,100.0,9.9609375,90.0390625,0,0,0,0,0,0
HiSD,3.9810717055349695e-05,0.002,512,uniform_grid_32x16_centers,2000000,506,6,0,512,0,100.0,98.828125,1.171875,0,0,0,0,0,0
SI-pHiSD,3.9810717055349695e-05,0.002,512,uniform_grid_32x16_centers,2000000,54,456,0,510,2,99.609375,10.546875,89.0625,0,0,0,0,2,0
HiSD,5.011872336272725e-05,0.002,512,uniform_grid_32x16_centers,2000000,506,6,0,512,0,100.0,98.828125,1.171875,0,0,0,0,0,0
SI-pHiSD,5.011872336272725e-05,0.002,512,uniform_grid_32x16_centers,2000000,56,456,0,512,0,100.0,10.9375,89.0625,0,0,0,0,0,0
HiSD,6.309573444801929e-05,0.002,512,uniform_grid_32x16_centers,2000000,506,6,0,512,0,100.0,98.828125,1.171875,0,0,0,0,0,0
SI-pHiSD,6.309573444801929e-05,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,7.943282347242822e-05,0.002,512,uniform_grid_32x16_centers,2000000,506,6,0,512,0,100.0,98.828125,1.171875,0,0,0,0,0,0
SI-pHiSD,7.943282347242822e-05,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.0001,0.002,512,uniform_grid_32x16_centers,2000000,506,6,0,512,0,100.0,98.828125,1.171875,0,0,0,0,0,0
SI-pHiSD,0.0001,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.00012589254117941674,0.002,512,uniform_grid_32x16_centers,2000000,73,6,0,79,433,15.4296875,14.2578125,1.171875,433,0,0,0,0,0
SI-pHiSD,0.00012589254117941674,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.00015848931924611142,0.002,512,uniform_grid_32x16_centers,2000000,81,6,0,87,425,16.9921875,15.8203125,1.171875,0,425,0,0,0,0
SI-pHiSD,0.00015848931924611142,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.00019952623149688788,0.002,512,uniform_grid_32x16_centers,2000000,0,6,0,6,506,1.171875,0.0,1.171875,506,0,0,0,0,0
SI-pHiSD,0.00019952623149688788,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.0002511886431509582,0.002,512,uniform_grid_32x16_centers,2000000,0,6,0,6,506,1.171875,0.0,1.171875,289,217,0,0,0,0
SI-pHiSD,0.0002511886431509582,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.00031622776601683794,0.002,512,uniform_grid_32x16_centers,2000000,0,6,0,6,506,1.171875,0.0,1.171875,201,304,0,0,1,0
SI-pHiSD,0.00031622776601683794,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.00039810717055349735,0.002,512,uniform_grid_32x16_centers,2000000,0,6,0,6,506,1.171875,0.0,1.171875,217,289,0,0,0,0
SI-pHiSD,0.00039810717055349735,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.0005011872336272725,0.002,512,uniform_grid_32x16_centers,2000000,0,6,0,6,506,1.171875,0.0,1.171875,317,189,0,0,0,0
SI-pHiSD,0.0005011872336272725,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.000630957344480193,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,402,110,0,0,0,0
SI-pHiSD,0.000630957344480193,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.0007943282347242822,0.002,512,uniform_grid_32x16_centers,2000000,0,1,0,1,511,0.1953125,0.0,0.1953125,511,0,0,0,0,0
SI-pHiSD,0.0007943282347242822,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.001,0.002,512,uniform_grid_32x16_centers,2000000,0,5,0,5,507,0.9765625,0.0,0.9765625,502,0,0,0,4,1
SI-pHiSD,0.001,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.0012589254117941675,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,332,0,0,0,87,93
SI-pHiSD,0.0012589254117941675,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.001584893192461114,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,239,0,0,0,127,146
SI-pHiSD,0.001584893192461114,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.0019952623149688807,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,81,0,0,0,187,244
SI-pHiSD,0.0019952623149688807,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.002511886431509582,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,249,263
SI-pHiSD,0.002511886431509582,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.0031622776601683794,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,226,286
SI-pHiSD,0.0031622776601683794,0.002,512,uniform_grid_32x16_centers,2000000,0,456,0,456,56,89.0625,0.0,89.0625,0,0,0,0,56,0
HiSD,0.003981071705534973,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,253,259
SI-pHiSD,0.003981071705534973,0.002,512,uniform_grid_32x16_centers,2000000,1,456,0,457,55,89.2578125,0.1953125,89.0625,0,0,0,0,55,0
HiSD,0.005011872336272725,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,313,199
SI-pHiSD,0.005011872336272725,0.002,512,uniform_grid_32x16_centers,2000000,4,456,0,460,52,89.84375,0.78125,89.0625,0,0,0,0,52,0
HiSD,0.006309573444801936,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,377,135
SI-pHiSD,0.006309573444801936,0.002,512,uniform_grid_32x16_centers,2000000,7,456,0,463,49,90.4296875,1.3671875,89.0625,0,0,0,0,49,0
HiSD,0.00794328234724282,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,412,100
SI-pHiSD,0.00794328234724282,0.002,512,uniform_grid_32x16_centers,2000000,19,455,0,474,38,92.578125,3.7109375,88.8671875,0,0,0,0,38,0
HiSD,0.01,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,441,71
SI-pHiSD,0.01,0.002,512,uniform_grid_32x16_centers,2000000,28,456,0,484,28,94.53125,5.46875,89.0625,0,0,0,0,28,0
HiSD,0.012589254117941675,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,429,83
SI-pHiSD,0.012589254117941675,0.002,512,uniform_grid_32x16_centers,2000000,39,452,0,491,21,95.8984375,7.6171875,88.28125,0,0,0,0,21,0
HiSD,0.01584893192461114,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,428,84
SI-pHiSD,0.01584893192461114,0.002,512,uniform_grid_32x16_centers,2000000,43,450,0,493,19,96.2890625,8.3984375,87.890625,0,0,0,0,19,0
HiSD,0.01995262314968881,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,419,93
SI-pHiSD,0.01995262314968881,0.002,512,uniform_grid_32x16_centers,2000000,40,450,0,490,22,95.703125,7.8125,87.890625,0,0,0,0,22,0
HiSD,0.025118864315095822,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,403,109
SI-pHiSD,0.025118864315095822,0.002,512,uniform_grid_32x16_centers,2000000,43,452,0,495,17,96.6796875,8.3984375,88.28125,0,0,0,0,17,0
HiSD,0.03162277660168379,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,388,124
SI-pHiSD,0.03162277660168379,0.002,512,uniform_grid_32x16_centers,2000000,40,455,0,495,17,96.6796875,7.8125,88.8671875,0,0,0,0,17,0
HiSD,0.039810717055349734,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,339,173
SI-pHiSD,0.039810717055349734,0.002,512,uniform_grid_32x16_centers,2000000,35,453,0,488,24,95.3125,6.8359375,88.4765625,0,0,0,0,24,0
HiSD,0.05011872336272725,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,278,234
SI-pHiSD,0.05011872336272725,0.002,512,uniform_grid_32x16_centers,2000000,34,454,0,488,24,95.3125,6.640625,88.671875,0,0,0,0,24,0
HiSD,0.06309573444801936,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,225,287
SI-pHiSD,0.06309573444801936,0.002,512,uniform_grid_32x16_centers,2000000,34,452,0,486,26,94.921875,6.640625,88.28125,0,0,0,0,26,0
HiSD,0.07943282347242822,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,181,331
SI-pHiSD,0.07943282347242822,0.002,512,uniform_grid_32x16_centers,2000000,35,442,0,477,35,93.1640625,6.8359375,86.328125,0,0,0,0,35,0
HiSD,0.1,0.002,512,uniform_grid_32x16_centers,2000000,0,0,0,0,512,0.0,0.0,0.0,0,0,0,0,150,362
SI-pHiSD,0.1,0.002,512,uniform_grid_32x16_centers,2000000,23,436,0,459,53,89.6484375,4.4921875,85.15625,0,0,0,0,53,0
