r,method,eta,S,total_seeds,runs,complete,T_dev,seed_median_seconds,failure_statuses
0.5,HiSD,1e-05,2,2,6,True,175.84610775517413,"{""101"": 167.31803624999884, ""102"": 184.8088485000044}",[]
0.5,pHiSD,0.475,2,2,6,True,0.06982290007680636,"{""101"": 0.06944716699945275, ""102"": 0.07020066599943675}",[]
0.75,HiSD,1.5000000000000002e-05,2,2,6,True,117.19973700572888,"{""101"": 111.42347316700034, ""102"": 123.27544604201103}",[]
0.75,pHiSD,0.7124999999999999,2,2,6,True,0.04554980783672034,"{""101"": 0.044959207996726036, ""102"": 0.04614816600224003}",[]
1.0,HiSD,2e-05,2,2,6,True,89.80951515138223,"{""101"": 85.53198124999471, ""102"": 94.30097250000108}",[]
1.0,pHiSD,0.95,2,2,6,True,0.03333280874803153,"{""101"": 0.03329220900195651, ""102"": 0.033373458005371504}",[]
1.25,HiSD,2.5e-05,0,2,6,True,,"{""101"": 300.00267695799994, ""102"": 300.00276270799804}","[""BUDGET_TIME""]"
1.25,pHiSD,1.1875,2,2,6,True,0.08330485345792399,"{""101"": 0.08274462498957291, ""102"": 0.08386887499364093}",[]
1.5,HiSD,3.0000000000000004e-05,0,2,6,True,,"{""101"": 300.0028472080012, ""102"": 300.0028037079901}","[""BUDGET_TIME""]"
1.5,pHiSD,1.4249999999999998,0,2,6,True,,"{""101"": 300.00319324999873, ""102"": 300.0028478750028}","[""BUDGET_TIME""]"
