Method,Metric,Unit,Median,Min,Max,Repeats,T_total_includes_certification,Component_times_may_overlap,Accounting_note
standard,T_total,seconds,23.0190652916667,22.9927336666667,23.4722368333333,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
standard,T_setup,seconds,0,0,0,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
standard,T_update,seconds,0,0,0,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
standard,T_setup_update,seconds,0,0,0,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
standard,T_apply,seconds,0,0,0,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
standard,T_solve,seconds,0,0,0,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
standard,T_apply_solve,seconds,0,0,0,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
standard,T_eig,seconds,22.2999419166671,22.2795557500002,22.7073919166671,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
standard,T_certify,seconds,0.000541416666666667,0.000532875,0.00470333333333333,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
block_jacobi,T_total,seconds,0.020608375,0.018719,0.0600427916666667,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
block_jacobi,T_setup,seconds,0.000830041666666667,0.000480791666666667,0.00651095833333333,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
block_jacobi,T_update,seconds,0.00114108333333333,0.000881000000000003,0.00468191666666668,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
block_jacobi,T_setup_update,seconds,0.00197112499999999,0.00136179166666667,0.011192875,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
