method,repeat,N,eta,tau,J,max_iter,history_records,actual_outer_updates,stop_reason,endpoint_residual,T_total,T_M_setup_upd,T_M_apply_solve,T_eig_net,metric_build_count,metric_build_count_definition,factorization_count,M_solve_count,M_apply_count,bj_dense_build_count,ic_state_build_count,ic_frame_build_count,ic_failure_count,fs_dense_rematerialization_count,frame_initialization_count,target_index,delta_ind,morse_index,index_resolved,index_pass,lambda_1,lambda_2,endpoint_status,T_certify
"HiSD",1,50,5.0000000000000002e-05,5.0000000000000002e-05,5,2000000,155739,155738,"converged",9.9996700656928567e-07,23.477302999999999,0,0,22.707391916667078,0,"none",0,0,0,0,0,0,0,0,3115,1,9.9999999999999995e-07,1,1,1,-2.0879720950763954,1.9938691564587867,"converged",0.0047033333333333337
"HiSD",2,50,5.0000000000000002e-05,5.0000000000000002e-05,5,2000000,155739,155738,"converged",9.9996700656928567e-07,23.019761833333334,0,0,22.299941916667084,0,"none",0,0,0,0,0,0,0,0,3115,1,9.9999999999999995e-07,1,1,1,-2.0879720950763954,1.9938691564587867,"converged",0.00054141666666666672
"HiSD",3,50,5.0000000000000002e-05,5.0000000000000002e-05,5,2000000,155739,155738,"converged",9.9996700656928567e-07,22.993417624999999,0,0,22.279555750000199,0,"none",0,0,0,0,0,0,0,0,3115,1,9.9999999999999995e-07,1,1,1,-2.0879720950763954,1.9938691564587867,"converged",0.00053287500000000004
"Block Jacobi",1,50,0.5,0.050000000000000003,5,2000000,70,69,"converged",7.6195513584201709e-07,0.060510416666666664,0.010114166666666634,0.0052169583333333235,0.039402041666666734,961,"local block helper calls including dense assembly",0,414,547,2,0,0,0,0,2,1,9.9999999999999995e-07,1,1,1,-2.0879771786002537,1.9938500876157614,"converged",0.00040412500000000002
"Block Jacobi",2,50,0.5,0.050000000000000003,5,2000000,70,69,"converged",7.6195513584201709e-07,0.021120833333333332,0.0018415416666666619,0.00067695833333333334,0.015731291666666675,961,"local block helper calls including dense assembly",0,414,547,2,0,0,0,0,2,1,9.9999999999999995e-07,1,1,1,-2.0879771786002537,1.9938500876157614,"converged",0.00045825
"Block Jacobi",3,50,0.5,0.050000000000000003,5,2000000,70,69,"converged",7.6195513584201709e-07,0.019441666666666666,0.001239666666666673,0.00066979166666666717,0.015487749999999988,961,"local block helper calls including dense assembly",0,414,547,2,0,0,0,0,2,1,9.9999999999999995e-07,1,1,1,-2.0879771786002537,1.9938500876157614,"converged",0.00066345833333333328
"Incomplete Cholesky",1,50,0.5,0.050000000000000003,5,2000000,67,66,"converged",8.8657001754412866e-07,0.21915445833333333,0.079916624999999977,0.0078506666666666673,0.12274379166666664,133,"complete IC builder calls",133,396,398,0,66,66,0,0,2,1,9.9999999999999995e-07,1,1,1,-2.0879774593814884,1.993850087611279,"converged",0.00040920833333333331
"Incomplete Cholesky",2,50,0.5,0.050000000000000003,5,2000000,67,66,"converged",8.8657001754412866e-07,0.075155250000000007,0.046225249999999989,0.005164375000000004,0.019060624999999991,133,"complete IC builder calls",133,396,398,0,66,66,0,0,2,1,9.9999999999999995e-07,1,1,1,-2.0879774593814884,1.993850087611279,"converged",0.00052208333333333338
"Incomplete Cholesky",3,50,0.5,0.050000000000000003,5,2000000,67,66,"converged",8.8657001754412866e-07,0.067896041666666671,0.045342749999999959,0.0048887916666666698,0.015354416666666667,133,"complete IC builder calls",133,396,398,0,66,66,0,0,2,1,9.9999999999999995e-07,1,1,1,-2.0879774593814884,1.993850087611279,"converged",0.00042958333333333336
"Frozen Spectral",1,50,0.5,0.050000000000000003,5,2000000,138,137,"converged",9.4592130516957717e-07,0.038315124999999998,0.0014109999999999965,0.0030970416666666338,0.028148750000000031,1,"frozen spectrum builds",0,822,688,0,0,0,0,3,3,1,9.9999999999999995e-07,1,1,1,-2.0879743746946788,1.9938748698888311,"converged",0.00041966666666666666
"Frozen Spectral",2,50,0.5,0.050000000000000003,5,2000000,138,137,"converged",9.4592130516957717e-07,0.023272416666666667,0.00077629166666667035,0.0014204999999999942,0.018257625000000003,1,"frozen spectrum builds",0,822,688,0,0,0,0,3,3,1,9.9999999999999995e-07,1,1,1,-2.0879743746946788,1.9938748698888311,"converged",0.00043345833333333333
"Frozen Spectral",3,50,0.5,0.050000000000000003,5,2000000,138,137,"converged",9.4592130516957717e-07,0.021636333333333334,0.00072362500000000345,0.0012335833333333346,0.01793991666666666,1,"frozen spectrum builds",0,822,688,0,0,0,0,3,3,1,9.9999999999999995e-07,1,1,1,-2.0879743746946788,1.9938748698888311,"converged",0.00039054166666666664
