Method,Status,Iterations,Metric,Unit,Run_1,Run_2,Run_3,Median,Min,Max,Repeats,T_total_includes_certification,Component_times_are_inclusive,Accounting_note
standard,divergence,31127,T_total,seconds,4.12413829166667,3.81773504166667,3.84350620833333,3.84350620833333,3.81773504166667,4.12413829166667,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_setup_update,seconds,0,0,0,0,0,0,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_apply_solve,seconds,0,0,0,0,0,0,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_eig,seconds,3.30215041666666,3.02572954166666,3.0510775,3.0510775,3.02572954166666,3.30215041666666,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_cert,seconds,0.0126732916666667,0.0106122083333333,0.0110835416666667,0.0110835416666667,0.0106122083333333,0.0126732916666667,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,initial_setup_time,seconds,0,0,0,0,0,0,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,update_time,seconds,0,0,0,0,0,0,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_metric_apply,seconds,0,0,0,0,0,0,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_metric_solve,seconds,0,0,0,0,0,0,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_M_orth,seconds,0,0,0,0,0,0,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_Euclidean_orth,seconds,0.546180791666642,0.504029291666606,0.512488333333613,0.512488333333613,0.504029291666606,0.546180791666642,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_factorization,seconds,0,0,0,0,0,0,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_eig_initial,seconds,0.103696541666667,0.0186087083333333,0.0193535833333333,0.0193535833333333,0.0186087083333333,0.103696541666667,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_eig_refreeze,seconds,0,0,0,0,0,0,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_eig_update,seconds,3.198453875,3.00712083333333,3.03172391666667,3.03172391666667,3.00712083333333,3.198453875,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_eig_metric,seconds,0,0,0,0,0,0,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_eig_diagnostic,seconds,0,0,0,0,0,0,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
standard,divergence,31127,T_eig_status_cert,seconds,0,0,0,0,0,0,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
spectral,success,199,T_total,seconds,0.220087583333333,0.147442875,0.14881725,0.14881725,0.147442875,0.220087583333333,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
spectral,success,199,T_setup_update,seconds,0.0131510416666667,0.00663008333333333,0.00642641666666667,0.00663008333333333,0.00642641666666667,0.0131510416666667,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
spectral,success,199,T_apply_solve,seconds,0.0847427916666683,0.0834361666666674,0.0838130416666691,0.0838130416666691,0.0834361666666674,0.0847427916666683,3,0,1,Component timing categories are inclusive diagnostics and must not be summed to obtain T_total. Metric-building eig/eigs overlaps setup/update; frame T_eig includes metric apply/solve and orthogonalization; T_M_orth includes metric_apply. Unobservable generalized-eigensolver metric operations remain in T_eig.
