method,p,N,n,timing_mode,record_count,verified_repeat_count,solver_success_count,failed_or_censored_count,status_counts,run_ids,median_baseline_rss_bytes,min_baseline_rss_bytes,max_baseline_rss_bytes,count_baseline_rss_bytes,median_solver_peak_rss_bytes,min_solver_peak_rss_bytes,max_solver_peak_rss_bytes,count_solver_peak_rss_bytes,median_full_peak_rss_bytes,min_full_peak_rss_bytes,max_full_peak_rss_bytes,count_full_peak_rss_bytes,median_solver_start_highwater_bytes,min_solver_start_highwater_bytes,max_solver_start_highwater_bytes,count_solver_start_highwater_bytes,median_solver_end_highwater_bytes,min_solver_end_highwater_bytes,max_solver_end_highwater_bytes,count_solver_end_highwater_bytes,median_cert_end_highwater_bytes,min_cert_end_highwater_bytes,max_cert_end_highwater_bytes,count_cert_end_highwater_bytes,median_nnz_A,min_nnz_A,max_nnz_A,count_nnz_A,median_nnz_M,min_nnz_M,max_nnz_M,count_nnz_M,median_nnz_H_final,min_nnz_H_final,max_nnz_H_final,count_nnz_H_final,median_nnz_L,min_nnz_L,max_nnz_L,count_nnz_L,median_nnz_U,min_nnz_U,max_nnz_U,count_nnz_U,median_F_n,min_F_n,max_F_n,count_F_n,median_fill_ratio,min_fill_ratio,max_fill_ratio,count_fill_ratio,median_sparse_A_payload_bytes,min_sparse_A_payload_bytes,max_sparse_A_payload_bytes,count_sparse_A_payload_bytes,median_sparse_M_payload_bytes,min_sparse_M_payload_bytes,max_sparse_M_payload_bytes,count_sparse_M_payload_bytes,median_factor_exported_array_payload_bytes,min_factor_exported_array_payload_bytes,max_factor_exported_array_payload_bytes,count_factor_exported_array_payload_bytes,observed_max_all_outcomes_baseline_rss_bytes,observed_max_all_outcomes_solver_peak_rss_bytes,observed_max_all_outcomes_full_peak_rss_bytes,observed_max_all_outcomes_solver_start_highwater_bytes,observed_max_all_outcomes_solver_end_highwater_bytes,observed_max_all_outcomes_cert_end_highwater_bytes
pHiSD_H1,3,64,4096,profile,3,3,3,0,"{""verified_index1"": 3}","[""production_pHiSD_H1_N64_p3_profile_r1_a1"", ""production_pHiSD_H1_N64_p3_profile_r2_a1"", ""production_pHiSD_H1_N64_p3_profile_r3_a1""]",70828032,70369280,74596352,3,79216640,76595200,82755584,3,79380480,76595200,82952192,3,71221248,70746112,74891264,3,79347712,76595200,82952192,3,79446016,77365248,83722240,3,20224,20224,20224,3,20224,20224,20224,3,20224,20224,20224,3,110312,110312,110312,3,110312,110312,110312,3,220624,220624,220624,3,10.909018987341772,10.909018987341772,10.909018987341772,3,259076,259076,259076,3,259076,259076,259076,3,2680264,2680264,2680264,3,74596352,82755584,82952192,74891264,82952192,83722240
pHiSD_H1,3,128,16384,profile,3,3,3,0,"{""verified_index1"": 3}","[""production_pHiSD_H1_N128_p3_profile_r1_a1"", ""production_pHiSD_H1_N128_p3_profile_r2_a1"", ""production_pHiSD_H1_N128_p3_profile_r3_a1""]",70991872,70598656,70991872,3,108429312,105676800,108806144,3,111214592,105709568,111427584,3,71254016,70926336,71286784,3,108429312,105676800,108806144,3,111476736,106758144,113328128,3,81408,81408,81408,3,81408,81408,81408,3,81408,81408,81408,3,610620,610620,610620,3,610620,610620,610620,3,1221240,1221240,1221240,3,15.001474056603774,15.001474056603774,15.001474056603774,3,1042436,1042436,1042436,3,1042436,1042436,1042436,3,14785960,14785960,14785960,3,70991872,108806144,111427584,71286784,108806144,113328128
pHiSD_H1,3,192,36864,profile,3,3,3,0,"{""verified_index1"": 3}","[""production_pHiSD_H1_N192_p3_profile_r1_a1"", ""production_pHiSD_H1_N192_p3_profile_r2_a1"", ""production_pHiSD_H1_N192_p3_profile_r3_a1""]",71942144,68370432,71958528,3,160284672,157319168,168394752,3,166199296,157630464,168558592,3,72220672,68780032,72335360,3,160284672,157319168,168394752,3,168656896,157712384,169984000,3,183552,183552,183552,3,183552,183552,183552,3,183552,183552,183552,3,1589230,1589230,1589230,3,1589230,1589230,1589230,3,3178460,3178460,3178460,3,17.31640080195258,17.31640080195258,17.31640080195258,3,2350084,2350084,2350084,3,2350084,2350084,2350084,3,38436440,38436440,38436440,3,71958528,168394752,168558592,72335360,168394752,169984000
pHiSD_H1,3,256,65536,profile,3,3,3,0,"{""verified_index1"": 3}","[""production_pHiSD_H1_N256_p3_profile_r1_a1"", ""production_pHiSD_H1_N256_p3_profile_r2_a1"", ""production_pHiSD_H1_N256_p3_profile_r3_a1""]",71745536,70041600,72990720,3,240058368,234651648,242974720,3,240058368,234651648,244236288,3,72138752,70434816,73383936,3,240058368,234651648,242974720,3,240058368,234651648,244236288,3,326656,326656,326656,3,326656,326656,326656,3,326656,326656,326656,3,3121287,3121287,3121287,3,3121287,3121287,3121287,3,6242574,6242574,6242574,3,19.11054442594044,19.11054442594044,19.11054442594044,3,4182020,4182020,4182020,3,4182020,4182020,4182020,3,75435184,75435184,75435184,3,72990720,242974720,244236288,73383936,242974720,244236288
pHiSD_H1,5,64,4096,profile,3,3,3,0,"{""verified_index1"": 3}","[""production_pHiSD_H1_N64_p5_profile_r1_a1"", ""production_pHiSD_H1_N64_p5_profile_r2_a1"", ""production_pHiSD_H1_N64_p5_profile_r3_a1""]",72826880,71778304,73220096,3,79364096,78364672,81379328,3,80035840,79036416,81461248,3,73220096,72155136,73433088,3,79364096,78364672,81461248,3,80101376,79314944,81543168,3,20224,20224,20224,3,20224,20224,20224,3,20224,20224,20224,3,110312,110312,110312,3,110312,110312,110312,3,220624,220624,220624,3,10.909018987341772,10.909018987341772,10.909018987341772,3,259076,259076,259076,3,259076,259076,259076,3,2680264,2680264,2680264,3,73220096,81379328,81461248,73433088,81461248,81543168
pHiSD_H1,5,128,16384,profile,3,3,3,0,"{""verified_index1"": 3}","[""production_pHiSD_H1_N128_p5_profile_r1_a1"", ""production_pHiSD_H1_N128_p5_profile_r2_a1"", ""production_pHiSD_H1_N128_p5_profile_r3_a1""]",70844416,69926912,71139328,3,108724224,105840640,112918528,3,109510656,106020864,115539968,3,71155712,70303744,71417856,3,108986368,105840640,112918528,3,110592000,106479616,115802112,3,81408,81408,81408,3,81408,81408,81408,3,81408,81408,81408,3,610620,610620,610620,3,610620,610620,610620,3,1221240,1221240,1221240,3,15.001474056603774,15.001474056603774,15.001474056603774,3,1042436,1042436,1042436,3,1042436,1042436,1042436,3,14785960,14785960,14785960,3,71139328,112918528,115539968,71417856,112918528,115802112
pHiSD_H1,5,192,36864,profile,3,3,3,0,"{""verified_index1"": 3}","[""production_pHiSD_H1_N192_p5_profile_r1_a1"", ""production_pHiSD_H1_N192_p5_profile_r2_a1"", ""production_pHiSD_H1_N192_p5_profile_r3_a1""]",71122944,69337088,71499776,3,166232064,153534464,171737088,3,171737088,161611776,173916160,3,71516160,69730304,71811072,3,166232064,155009024,171737088,3,171737088,163659776,173916160,3,183552,183552,183552,3,183552,183552,183552,3,183552,183552,183552,3,1589230,1589230,1589230,3,1589230,1589230,1589230,3,3178460,3178460,3178460,3,17.31640080195258,17.31640080195258,17.31640080195258,3,2350084,2350084,2350084,3,2350084,2350084,2350084,3,38436440,38436440,38436440,3,71499776,171737088,173916160,71811072,171737088,173916160
pHiSD_H1,5,256,65536,profile,3,3,3,0,"{""verified_index1"": 3}","[""production_pHiSD_H1_N256_p5_profile_r1_a1"", ""production_pHiSD_H1_N256_p5_profile_r2_a1"", ""production_pHiSD_H1_N256_p5_profile_r3_a1""]",70811648,70631424,72302592,3,243941376,237568000,247037952,3,245071872,237568000,247037952,3,71106560,70942720,72646656,3,243941376,237568000,247037952,3,245071872,237568000,247037952,3,326656,326656,326656,3,326656,326656,326656,3,326656,326656,326656,3,3121287,3121287,3121287,3,3121287,3121287,3121287,3,6242574,6242574,6242574,3,19.11054442594044,19.11054442594044,19.11054442594044,3,4182020,4182020,4182020,3,4182020,4182020,4182020,3,75435184,75435184,75435184,3,72302592,247037952,247037952,72646656,247037952,247037952
standard_HiSD,3,128,16384,profile,3,3,3,0,"{""verified_index1"": 3}","[""production_standard_HiSD_N128_p3_profile_r1_a1"", ""production_standard_HiSD_N128_p3_profile_r2_a1"", ""production_standard_HiSD_N128_p3_profile_r3_a1""]",71122944,71106560,71876608,3,111493120,107085824,114671616,3,111493120,107085824,114671616,3,71516160,71385088,72204288,3,111493120,107085824,114671616,3,111493120,107839488,114671616,3,81408,81408,81408,3,0,0,0,3,81408,81408,81408,3,0,0,0,3,0,0,0,3,0,0,0,3,,,,0,1042436,1042436,1042436,3,0,0,0,3,0,0,0,3,71876608,114671616,114671616,72204288,114671616,114671616
standard_HiSD,5,128,16384,profile,3,3,3,0,"{""verified_index1"": 3}","[""production_standard_HiSD_N128_p5_profile_r1_a1"", ""production_standard_HiSD_N128_p5_profile_r2_a1"", ""production_standard_HiSD_N128_p5_profile_r3_a1""]",70680576,69582848,72335360,3,107364352,97763328,107397120,3,107364352,97763328,107397120,3,71057408,69746688,72613888,3,107364352,97927168,109559808,3,107364352,97927168,109559808,3,81408,81408,81408,3,0,0,0,3,81408,81408,81408,3,0,0,0,3,0,0,0,3,0,0,0,3,,,,0,1042436,1042436,1042436,3,0,0,0,3,0,0,0,3,72335360,107397120,107397120,72613888,109559808,109559808
